- C64 RAM Map (Jim Butterfield)
-
- Butterfield, Jim [compiled by]:
- COMMODORE 64 MEMORY MAP
- Classic Computer Magazine Archive COMPUTE! issue 29, October 1982, p.150
-
- https://www.atarimagazines.com/compute/issue29/394_1_COMMODORE_64_MEMORY_MAP.php
- https://www.atariarchives.org/mlb/appendix_b.php
- https://archive.org/details/1982-10-compute-magazine/page/n153/mode/2up
-
- Corrections (typos as well as content), translations etc.
- welcome at: https://github.com/mist64/c64ref
-
------------------------------------------------------------
-
# This plain text file is formatted so that it can be automatically
# parsed in order to create cross-references etc.
# * Lines starting with "-" is top-level information. The first line
#   is the title. Lines starting with "--" are separators.
# * Lines starting with "#" are internal comments.
# * Hex addresses start at column 0.
# * Symbols start at column 13.
# * The description starts at column 21.
# * All lines of the description until the first blank line are
#   combined into the heading.
# * A '.' character at the end of a heading line represents a hard
#   line break.
# * The remaining text is in MarkDown format.
# * All addresses are 4 digits and have a leading '$'.
# The encoding is UTF-8.

$0000        D6510   Chip directional register
$0093        VERCK   Load = 0, Verify = l
$0094        C3P0    Serial output : deferred char flag
$0095        BSOUR   Serial deferred character
$0096        SYNO    Tape EOT received
$0097        XSAV    Register save
$0098        LDTND   How many open files
$0099        DFLTN   Input device, normally 0
$009A        DFLTO   Output CMD device, normally 3
$009B        PRTY    Tape character parity
$009C        DPSW    Byte-received flag
$009D        MSGFLG  Direct = $80/RUN = 0 output control
$009E        PTR1    Tp Pass 1 error log/char buffer
$009F        PTR2    Tp Pass 2 err log corrected
$00A0-$00A2  TIME    Jiffy Clock HML
$00A3        R2D2    Serial bit count/EOI flag
$00A4        FIRT    Cycle count
$00A5        CNTDN   Countdown, tape write/bit count
$00A6        BUFPT   Tape buffer pointer
$00A7        INBIT   Tp Wrt ldr count/Rd pass/inbit
$00A8        BITCI   Tp Wrt new byte/Rd error/inbit cnt
$00A9        RINONE  Wrt start bit/Rd bit err/stbit
$00AA        RIDATA  Tp Scan; Cnt; Ld; End/byte assy
$00AB        RIPRTY  Wr lead length/Rd checksum/parity
$00AC-$00AD          Pointer : tape bufr, scrolling
$00AE-$00AF          Tape end adds/End of program
$00B0-$00B1          Tape timing constants
$00B2-$00B3  TAPE1   Pntr : start of tape buffer
$00B4        BITTS   l = Tp timer enabled; bit count
$00B5        NXTBIT  Tp EOT/RS232 next bit to send
$00B6        RODATA  Read character error/outbyte buf
$00B7        FNLEN   # characters in file name
$00B8        LA      Current logical file
$00B9        SA      Current secondary address
$00BA        FA      Current device
$00BB-$00BC  FNADR   Pointer to file name
$00BD        ROPRTY  Wr shift word/Rd input char
$00BE        FSBLK   # blocks remaining to Wr/Rd
$00BF        MYCH    Serial word buffer
$00C0        CAS1    Tape motor interlock
$00C1-$00C2  STAL    I/O start address
$00C3-$00C4  MEMUSS  Kernel setup pointer
$00C5        LSTX    Last key pressed
$00C6        NDX     # chars in keybd buffer
$00C7        RVS     Screen reverse flag
$00C8        INDX    End-of-line for input pointer
$00C9-$00CA          Input cursor log (row, column)
$00CB        SFDX    Which key :  64 if no key
$00CC        BLNSW   0 = flash cursor
$00CD        BLNCT   Cursor timing countdown
$00CE        GDBLN   Character under cursor
$00CF        BLNON   Cursor in blink phase
$00D0        CRSW    Input from screen/from keyboard
$00D1-$00D2  PNT     Pointer to screen line
$00D3        PNTR    Position of cursor on above line
$00D4        QTSW    0 = direct cursor, else programmed
$00D5        LNMX    Current screen line length
$00D6        TBLX    Row where cursor lives
$00D7        DATA    Last inkey/checksum/buffer
$00D8        INSRT   # of INSERTs outstanding
$00D9-$00F2  LDTB1   Screen line link table
$00F3-$00F4  USER    Screen color pointer
$00F5-$00F6  KEYTAB  Keyboard pointer
$00F7-$00F8  RIBUF   RS-232 Rev pntr
$00F9-$00FA  ROBUF   RS-232 Tx pntr
$00FF-$010A  BASZPT  Floating to ASCII work area
$0100-$01FF          Processor stack area
$0100-$013E  BAD     Tape error log
$0200-$0258  BUF     Basic input buffer
$0259-$0262  LAT     Logical file table
$0263-$026C  FAT     Device # table
$026D-$0276  SAT     Sec Adds table
$0277-$0280  KEYD    Keybd buffer
$0281-$0282  MEMSTR  Start of Basic Memory
$0283-$0284  MEMSIZ  Top of Basic Memory
$0285        TIMOUT  Serial bus timeout flag
$0286        COLOR   Current color code
$0287        GDCOL   Color under cursor
$0288        HIBASE  Screen memory page
$0289        XMAX    Max size of keybd buffer
$028A        RPTFLG  Repeat all keys
$028B        KOUNT   Repeat speed counter
$028C        DELAY   Repeat delay counter
$028D        SHFLAG  Keyboard Shift/Control flag
$028E        LSTSHF  Last shift pattern
$028F-$0290  KEYLOG  Keyboard table setup pointer
$0291        MODE    Keyboard shift mode
$0292        AUTODN  0 = scroll enable
$0293        M51CTR  RS-232 control reg
$0294        M51CDR  RS-232 command reg
$0295-$0296  M51AJB  Bit timing
$0297        RSSTAT  RS-232 status
$0298        BITNUM  # bits to send
$0299-$029A  BAUDOF  RS-232 speed/code
$029B        RIDBE   RS232 receive pointer
$029C        RIDBS   RS232 input pointer
$029D        RODBS   RS232 transmit pointer
$029E        RODBE   RS232 output pointer
$029F-$02A0  IRQTMP  IRQ save during tape I/O
$02A1        ENABL   CIA 2 (NMI) Interrupt Control
$02A2        CASTON  CIA 1 Timer A control log
$02A3        KIKA26  CIA 1 Interrupt Log
$02A4        STUPID  CIA 1 Timer A enabled flag
$02A5        LINTMP  Screen row marker
$0300-$0301  IERROR  Error message link
$0302-$0303  IMAIN   Basic warm start link
$0304-$0305  ICRNCH  Crunch Basic tokens link
$0306-$0307  IQPLOP  Print tokens link
$0308-$0309  IGONE   Start new Basic code link
$030A-$030B  IEVAL   Get arithmetic element link
$030C        SAREG   SYS A-reg save
$030D        SXREG   SYS X-reg save
$030E        SYREG   SYS Y-reg save
$030F        SPREG   SYS status reg save
$0310-$0312  USRPOK  USR function jump ($B248)
$0314-$0315  CINV    Hardware interrupt vector ($EA31)
$0316-$0317  CBINV   Break interrupt vector ($FE66)
$0318-$0319  NMINV   NMI interrupt vector ($FE47)
$031A-$031B  IOPEN   OPEN vector ($F34A)
$031C-$031D  ICLOSE  CLOSE vector ($F291)
$031E-$031F  ICHKIN  Set - input vector ($F20E)
$0320-$0321  ICKOUT  Set - output vector ($F250)
$0322-$0323  ICLRCH  Restore I/0 vector ($F333)
$0324-$0325  IBASIN  INPUT vector ($F157)
$0326-$0327  IBSOUT  Output vector ($F1CA)
$0328-$0329  ISTOP   Test-STOP vector ($F6ED)
$032A-$032B  IGETIN  GET vector ($F13E)
$032C-$032D  ICLALL  Abort I/o vector ($F32F)
$032E-$032F  USRCMD  Warm start vector ($FE66)
$0330-$0331  ILOAD   LOAD link ($F4A5)
$0332-$0333  ISAVE   SAVE link ($F5ED)
$033C-$03FB  TBUFFR  Cassette buffer
